Intercept,bedroom_num,floor_area,bathroom_num,city_mandal,city_manila,city_pasig,city_quezon,city_san_ju,city_taguig,VAR1,listing,location,price,type,city
1,2,77,2,0,0,0,0,0,0,2249,"2 bedroom unit for sale at avida towers asten, san antonio, makati city","san antonio, makati",17249100,condominium,makati
1,2,52,2,0,0,0,0,0,0,2250,"for sale: special 2 bedroom unit  in a low rise condominium, makati","san antonio, makati",16000000,condominium,makati
1,3,152,3,0,0,0,0,0,0,2251,for sale three bedroom condominium lorraine at the proscenium rockwell makati,"poblacion, makati",50000000,condominium,makati
1,1,69,1,0,0,0,0,0,0,2252,ready for occupancy condominium for sale in makati solstice tower 2,"carmona, makati",14000000,condominium,makati
1,3,331,3,0,0,0,0,0,0,2253,for sale 3br unit with view of pool and greenery in two roxas triangle makati,"urdaneta, makati",110000000,condominium,makati
1,2,94,2,0,0,0,0,0,0,2254,for sale lovely two bedroom with balcony in makati,"carmona, makati",23000000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2255,2 - bedroom condo unit rfo in san lorenzo place makati for sale no dp 5% off!,"san lorenzo, makati",7000000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2256,"2 bedroom condominium for sale at san lorenzo place, makati city","san lorenzo, makati",6000000,condominium,makati
1,1,46,1,0,0,0,0,0,0,2257,"for sale: lowest 1 bedroom condo unit in avida towers asten, makati","san antonio, makati",9549485,condominium,makati
1,2,38,1,0,0,0,0,0,0,2258,san lorenzo place makati rent to own condo 1br/2br linked to mrt3 near moa naia,"san lorenzo, makati",6600000,condominium,makati
1,2,77,1,0,0,0,0,0,0,2259,"avida towers asten tower 3, 2 bedroom for sale in san antonio, makati","san antonio, makati",18000000,condominium,makati
1,1,23,1,0,0,0,0,0,0,2260,studio unit for as low as 5k/month in the city of makati,"bangkal, makati",6000000,condominium,makati
1,2,38,1,0,0,0,0,0,0,2261,2 bedroom condominium for sale at san lorenzo place in makati,"san lorenzo, makati",6000000,condominium,makati
1,3,266,2,0,0,0,0,0,0,2262,"for sale: 266sqm 3 bedroom pre-selling condo unit in park central towers, makati","urdaneta, makati",110027000,condominium,makati
1,2,78,2,0,0,0,0,0,0,2263,2 bedroom condo unit for sale in makati | ready for occupancy,"san antonio, makati",17000000,condominium,makati
1,2,104,4,0,0,0,0,0,0,2264,for sale 2 bedroom 104 sqm shang salcedo place salcedo village with parking,"salcedo village, makati",28000000,condominium,makati
1,3,145,2,0,0,0,0,0,0,2265,for sale: furnished 3-bedroom unit with parking at legaspi towers 100 in makati,"san lorenzo, makati",22000000,condominium,makati
1,1,35,1,0,0,0,0,0,0,2266,1 bedroom condo unit ready for occupancy for sale in makati city,"bel-air, makati",11993760,condominium,makati
1,2,27,1,0,0,0,0,0,0,2267,ready for occupancy 2br move in agad rent to own condo in makati near mrt,"chino roces, makati",6608448,condominium,makati
