,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
100,Makati 2 Bedroom Unit with Special Payment Terms near Ayala Avenue,"San Antonio, Makati","14,500,000",2,2,75,,121.009139,14.563865
101,"Studio Unit For Sale at The Vion Tower, Chino Roces, Makati City","Chino Roces, Makati","7,632,000",1,1,30,,121.0184,14.53956
102,For Sale Rent to Own RFO 2 Bedroom Condominium Unit in San Lorenzo Place Makati,"San Lorenzo, Makati","8,429,008",2,2,48,,121.0135893,14.5515877
103,For Sale Rent to Own RFO 2 Bedroom Condominium Unit in San Lorenzo Place Makati,"San Lorenzo, Makati","6,684,048",2,1,38,,121.0135893,14.5515877
104,"For Sale Three Bedroom, Sakura Tower at The Proscenium Rockwell Center Makati","Poblacion, Makati","56,000,000",3,3,166,,121.032076,14.56568
105,Pre-selling Condo in Salcedo Village - The Ellis,"Salcedo Village, Makati","11,060,000",1,1,34,,121.0206028,14.5596699
106,For Sale Rent to Own RFO 2 Bedroom Condominium Unit in San Lorenzo Place Makati,"Chino Roces, Makati","6,684,048",2,1,38,,121.0135893,14.5515877
107,"3 Bedroom Condominium unit for Sale in Rizal Tower, Rockwell, Makati","Rockwell, Makati","85,000,000",3,3,283,,121.036339,14.562949
108,"Condo For Sale in Makati, RFO Furnished-1 Bedroom with Balcony","San Antonio, Makati","6,393,000",1,1,26,,121.0123638,14.5624263
109,"RFO 1 Bedroom Condo with Balcony Condo For Sale in Makati City, Lush Residences","San Antonio, Makati","6,558,000",1,1,24,,121.0155,14.56379
110,San Lorenzo Place Makati Rent to Own Condo 1br/2br linked to MRT3 near MOA NAIA,"San Lorenzo, Makati","6,600,000",2,1,38,,121.0135893,14.5515877
111,For sale 1 Bedroom condominium near San Lorenzo Village Makati,"San Lorenzo, Makati","10,500,000",1,1,47,,121.019175,14.550759
112,For Sale Rent to Own RFO 2 Bedroom Condominium Unit in San Lorenzo Place Makati,"San Lorenzo, Makati","8,429,008",2,2,48,,121.0135893,14.5515877
113,2 Bedroom RFO Condo For Sale in Avida Towers Asten Makati,"San Antonio, Makati","14,219,700",2,2,77,,121.009139,14.563865
114,"For Sale 1-BR Condominium in Avida Towers Asten (Corner Unit), Makati","San Antonio, Makati","8,900,000",1,1,39,,121.009139,14.563865
115,For Sale! 1 Bedroom in Manansala Rockwell Makati City,"Rockwell, Makati","16,800,000",1,1,71,,121.0384946,14.5643958
116,For Sale in Makati City Parkford Suites Legazpi 3 Bedroom unit,"Legazpi Village, Makati","61,000,000",3,4,181,,121.0141682,14.5560869
117,Solstice Tower 2 1 bedroom with Balcony For Sale,"Poblacion, Makati","15,000,000",1,1,69,,121.032076,14.56568
118,Condominium Garden Towers I Park Villa Unit for Sale Located in Makati City,"San Lorenzo, Makati",,4,5,380,,121.019175,14.550759
119,"Salcedo Skysuites Studio Unit with Balcony 36 sqm For Sale, Makati","Salcedo Village, Makati","10,161,000",1,1,36,,121.0237865,14.56161652
120,Makati City 62 sqm Unit For Sale 1BR w/ balcony in Callisto,"Carmona, Makati","14,800,000",1,1,62,,121.0191645,14.5751553
121,"For Sale RFO Rent to Own 1 Bedroom unit at San Antonio Residence, Makati","Bel-Air, Makati","6,628,000",1,1,28,,121.02245,14.558487
122,For Sale Rent to Own RFO 2 Bedroom Condominium Unit in San Lorenzo Place Makati,"San Lorenzo, Makati","8,429,008",2,2,48,,121.0135893,14.5515877
123,Studio Unit For Sale in Avida Towers Asten Early MoveIn Promo San Antonio Makati,"San Antonio, Makati","5,581,180",1,1,23,,121.009139,14.563865
124,Rent To Own Studio Unit in Avida Towers Asten in Makati,"San Antonio, Makati","5,715,270",1,1,23,,121.009139,14.563865
125,3 Bedroom w 2 Parking Slot For Sale in Pacific Plaza Condominium at Makati City,"Urdaneta, Makati","62,000,000",3,2,285,,121.028222,14.55229258
126,"69 sqm 1 Bedroom in Garden Towers for Sale Located in San Lorenzo, Makati City","San Lorenzo, Makati",,1,1,69,,121.019175,14.550759
127,"For sale 3-Bedroom | 2-Parking |Tower 2, GARDEN TOWERS, Ayala Center, Makati","San Lorenzo, Makati","68,000,000",3,3,207,,121.019175,14.550759
128,Condominium Garden Towers I 3 Bedroom  Unit for Sale Located in Makati City,"San Lorenzo, Makati",,3,3,192,,121.019175,14.550759
129,"Studio Unit For Sale in The Vion Tower, Chino Roces, Makati City","Chino Roces, Makati","12,362,000",1,1,48,,121.0137,14.55211
130,For Sale Rent to Own RFO 2 Bedroom Condominium Unit in San Lorenzo Place Makati,"San Lorenzo, Makati","6,684,048",2,1,38,,121.0135893,14.5515877
131,Makati Studio Unit Near Ayala Avenue,"San Antonio, Makati","5,200,000",1,1,24,,121.009139,14.563865
132,san lorenzo place condominium at magallanes 2 bedroom,"San Lorenzo, Makati",,2,1,38,,121.019175,14.550759
133,"San Lorenzo Place, Makati Rent to Own 2BR Condo for Sale 30K monthly!","San Lorenzo, Makati","6,684,048",2,1,38,,121.019175,14.550759
134,"Solstice Circuit Makati |1 Bedroom Condo For Sale in Carmona, Makati","Carmona, Makati",,1,2,62,,121.0184162,14.5738205
135,For Sale Rent to Own RFO 2 Bedroom Condominium Unit in San Lorenzo Place Makati,"San Lorenzo, Makati","7,731,024",2,2,44,,121.0135893,14.5515877
136,"One Central Makati 1 bedroom for Sale Sen. Gil. J. Puyat Avenue, Makati City","Bel-Air, Makati","13,500,000",1,1,56,,121.015284,14.5611155
