,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
1278,"Fairways, BGC - For SALE","Fort Bonifacio, Taguig","19,000,000",2,2,82,,121.0431912,14.5457594
1279,"For Sale 1 Bedroom with balcony at Park West BGC beside Grand Hyatt, Taguig","Fort Bonifacio, Taguig","9,000,000",1,1,36,,121.0518,14.55795
1280,"One Bedroom Condo For Sale at One Uptown Residences in BGC, Taguig City","Fort Bonifacio, Taguig","9,600,000",1,1,45,,121.050904,14.5572563
1281,Studio Unit for Sale at Verve Residences BGC Taguig,"Fort Bonifacio, Taguig","10,000,000",1,1,37,,121.051226,14.54795811
1282,Brand New Two Maridien 2 Bedroom Condo Sale in BGC Taguig City,"Fort Bonifacio, Taguig","28,000,000",2,3,97,,121.050318,14.540867
1283,3 Bedroom with garden view for sale,"Fort Bonifacio, Taguig","33,500,000",3,2,101,,121.0539224,14.54884675
1284,"Semi-furnished 2 Bedroom Condo Unit For Sale in Arya Residences, BGC, Taguig","Fort Bonifacio, Taguig","40,000,000",2,2,126,,121.0489714,14.5463413
1285,"2-Bedroom Condo Unit with Parking in One Maridien BGC, Taguig for Sale","Fort Bonifacio, Taguig","27,000,000",2,2,95,,121.048118,14.5488356
1286,"For Sale: Php 23M 1 Bedroom at One Serendra West Tower, BGC, Taguig City","Fort Bonifacio, Taguig","23,000,000",1,1,86,,121.0499855,14.546318
1287,"For Sale : Elegant 2BR Uptown Ritz Residence, BGC, Taguig City","Fort Bonifacio, Taguig","34,000,000",2,3,93,,121.0535454,14.5576343
1288,2 Bedroom with Balcony Condominium For Sale in Uptown Ritz Residences Taguig,"Fort Bonifacio, Taguig",,2,2,93,,121.050318,14.540867
1289,"1 Bedroom Two Mariden: 65 sqm, Furnished, no parking, P13.5M","Fort Bonifacio, Taguig","13,500,000",1,1,65,,121.05008,14.54844
1290,"For Sale 1 Bedroom Deluxe Condominium Unit in Bellagio Tower, BGC Taguig City","Fort Bonifacio, Taguig","15,000,000",1,1,67,,121.04131,14.5526548
1291,"Condo 1 BR Corner Unit Flat For Sale in Venice Tower 2, Fort Bonifacio Taguig","McKinley Hill, Taguig","13,000,000",1,1,66,,121.0553,14.53712
1292,"1 Bedroom Unit For Sale in Meranti Tower, Two Serendra","Fort Bonifacio, Taguig","13,000,000",1,1,51,,121.0539224,14.54884675
1293,"Fore Sale Elegant 3 bedroom unit in St. Moritz, Mckinley West, Taguig City BGC","McKinley Hill, Taguig","42,000,000",3,3,117,,121.0459956,14.5381342
1294,SMDC Grace Residences in C-5 Taguig City - 1 Bedroom Unit Plus Parking Space,"Ususan, Taguig","4,500,000",1,1,29,,121.0614338,14.5307392
1295,Corner 2BR Condo with Golf Course View and 2 Parking Slots for Sale at Taguig,"Fort Bonifacio, Taguig","21,000,000",2,2,95,,121.0423546,14.5491648
1296,"Rush Sale : 1 Bedroom with balcony Located at Two Maridien BGC, Taguig City","Fort Bonifacio, Taguig","14,500,000",1,1,65,,121.05008,14.54844
1297,For Sale 3BR Condominium Unit at 8 Forbestown Road BGC Taguig,"Fort Bonifacio, Taguig","37,000,000",3,3,137,,121.050318,14.540867
1298,1 Bedroom for sale in Morgan suites at Mckinley Hill,"McKinley Hill, Taguig","6,800,000",1,1,47,,121.0494178,14.5330947
1299,"Semi Furnished 3 Bedroom Horizon Homes for Sale in BGC, Taguig City","Fort Bonifacio, Taguig","200,000,000",3,4,322,,121.0462361,14.5524616
1300,"2BR Condominium For Sale in One Uptown Residence BGC, Taguig City","Fort Bonifacio, Taguig","19,000,000",2,,68,,121.050904,14.5572563
1301,"For Sale:  2-BR Condo Unit, Avida Towers, 34th Street, BGC Taguig (P18.2M)","Fort Bonifacio, Taguig","18,200,000",2,2,72,,121.050318,14.540867
1302,"For Sale The Trion Tower 3 BR Unit RFO in Fort Bonifacio, Taguig","Fort Bonifacio, Taguig","26,977,469",3,4,102,,121.0494,14.54595
1303,3 Bedroom Condominium Unit for Sale at One Serendra BGC in Taguig City!,"Fort Bonifacio, Taguig","96,000,000",3,3,240,,121.0499855,14.546318
1304,"1 Bedroom with Balcony in Two Serendra, For Sale GOOD DEAL","Fort Bonifacio, Taguig","15,000,000",1,1,58,,121.050318,14.540867
1305,"1 Bedroom Suite with Balcony For Sale Uptown Parksuites Interiored, Taguig","Fort Bonifacio, Taguig","19,000,000",1,2,65,,121.0513651,14.5587092
1306,"For Sale: Shangri-La Horizon Homes 3 BR Penthouse unit in Fort Bonifacio, Taguig","Fort Bonifacio, Taguig","235,000,000",3,3,383,,121.0462361,14.5524616
1307,"Park Triangle Residences: 3BR For Sale, 123m2, 1 Parking, P33,825,000","Fort Bonifacio, Taguig","33,825,000",3,3,123,,121.0537,14.55292
