,listing,location,price,bedroom_num,bathroom_num,floor_area,land_size,longitude,latitude
26,"For Sale Industrial/Commercial Lot in Josefa Drive, San Juan City","Corazon de Jesus, San Juan","177,125,000",,,,1417,121.031436,14.6064966
27,"For Sale 227 sqm Residential Lot in Barangay St. Joseph near Onse, San Juan City","Onse, San Juan","20,000,000",,,,227,121.0317581,14.6011173
28,Residential Lot for sale in San Juan City near Shaw Blvd,"Santa Lucia, San Juan","49,800,000",,,,498,121.02905,14.60473
29,S-L0003-SJ Vacant Lot for Sale  in San Juan City,"Onse, San Juan","70,000,000",,,,415,121.0317,14.60075
30,1000 sqm Greenhills San Juan Commercial Lot For Sale,"Greenhills, San Juan","350,000,000",,,,1000,121.43876,14.600676
31,"San Juan City 1,417sqm Residential/Commercial Lot for Sale! -DS882459","Corazon de Jesus, San Juan","220,000,000",,,,168,121.031436,14.6064966
32,Commercial vacant lot in Greenhills San Juan 3000 sqm for sale,"Greenhills, San Juan","2,700,000,000",,,,3000,121.0445805,14.6034537
33,For Sale 516 sqm Commercial Lot in San Perfecto San Juan City,"San Perfecto, San Juan","95,000,000",,,,516,121.0230267,14.6034566
34,Residential Lot with old house for Sale at Connecticut St. East Greenhills,"Greenhills, San Juan",,,,,711,121.0468908,14.6011932
35,"877 sqm Lot - Barangay West Crame, San Juan City","West Crame, San Juan","40,000,000",,,,877,121.049992,14.6062331
36,Little Baguio San Juan Old Residential Lot for Sale,"Little Baguio, San Juan","111,680,000",,,,698,121.0371886,14.6014254
37,San Juan Metro Manila Lot For Sale,"Batis, San Juan","30,000,000",,,,390,121.0262408,14.5998868
38,Commercial Lot in San Juan City,"Balong-Bato, San Juan","138,060,000",,,,1062,121.0258632,14.6084757
39,"San Juan City 1,417sqm Huge Commercial /Residential Lot for Sale! -DS882459","Corazon de Jesus, San Juan","220,000,000",,,,1417,121.031436,14.6064966
40,Prime Vacant Lot for Sale in San Juan City Metro Manila 526 sq.m.,"Little Baguio, San Juan","102,570,000",,,,526,121.0402686035,14.602429150818
41,"S-L0005-SJ Residential Lot with Structure for Sale in Barangay Rivera, San Juan","Rivera, San Juan","35,000,000",,,,445,121.0212,14.60735
42,683 sqm Lot for Sale in San Juan City Few steps to Aurora Blvd & J. Ruiz station,"Salapan, San Juan","55,000,000",,,,683,121.2861642,14.6036614
