,listing,location,price,bedroom_num,bathroom_num,floor_area,longitude,latitude,city
107,1br condo for rent near lasalle taft manila the grand towers,"malate, manila",17000.0,1.0,1.0,32.0,120.99441,14.56168437,manila
108,studio unit for rent at manila residences,"malate, manila",20000.0,1.0,1.0,39.0,120.9912311,14.5668765,manila
109,for rent condo unit in taft avenue near de lasalle university one archers place,"malate, manila",14000.0,1.0,1.0,23.0,120.9929374,14.5666849,manila
110,studio condo for rent near lasalle taft the grand towers manila,"malate, manila",13000.0,1.0,1.0,22.0,120.99441,14.56168437,manila
111,"22 sqm, studio condo for rent near la salle taft the grand towers manila","malate, manila",15000.0,1.0,1.0,22.0,120.99441,14.56168437,manila
112,studio condo for rent near dlsu taft manila i the grand towers manila,"malate, manila",15000.0,1.0,1.0,25.0,120.99441,14.56168437,manila
113,for rent studio condominium unit with morning sun view at dlsu malate manila,"taft, manila",18000.0,1.0,1.0,27.0,120.9942,14.56562,manila
114,for rent brand new fully furnished studio condo in front of up-pgh manila,"ermita, manila",20000.0,1.0,1.0,21.0,120.9870236,14.5794268,manila
115,"1 bedroom fully furnished for rent in two adriatico place, ermita, manila","ermita, manila",30000.0,1.0,1.0,50.0,120.983956,14.57505106,manila
116,studio condominium for rent near dlsu manila i the grand towers manila,"malate, manila",12000.0,1.0,1.0,20.0,120.99441,14.56168437,manila
117,"1br condo for rent in robinson’s place residences ermita, manila","ermita, manila",42000.0,1.0,1.0,69.0,120.9825154,14.5860743,manila
118,semi-furnished studio unit for rent in vista taft residences in manila city,"taft, manila",18000.0,1.0,1.0,38.0,120.9932061,14.5667099,manila
119,for lease: 2 bedroom unit  with stunning luneta park view,"taft, manila",30000.0,2.0,2.0,54.0,120.98056826865,14.579925567595,manila
120,river green studio with balcony for rent in manila,"santa ana, manila",13000.0,1.0,1.0,28.0,121.0099794,14.5812608,manila
121,"2br condo unit for rent in peninsula garden near u. n. ave. paco, manila","paco, manila",17000.0,2.0,1.0,34.0,120.993855,14.585454,manila
122,2 bedroom condo with parking for rent dmci sorrel residences sta mesa manila,"sampaloc, manila",40000.0,2.0,1.0,61.0,120.996236,14.61103,manila
123,"fmrr building 2-bedroom unit for rent, manila","santa cruz, manila",17000.0,2.0,1.0,50.0,120.9848063,14.61103675,manila
124,"2 bedrooms unit for rent at burgundy westbay in malate, manila","malate, manila",25000.0,2.0,2.0,83.0,120.991585,14.570199,manila
125,2br unit furnished loft type in avenue of the arts residence for lease in manila,"ermita, manila",80000.0,2.0,2.0,124.0,120.9825154,14.5860743,manila
126,for rent 1 bedroom at adriatico place w/ beautiful view of manila,"ermita, manila",35000.0,1.0,1.0,27.0,120.983956,14.57505106,manila
127,2torre lorenzo condominium studio unit for rent,"taft, manila",20000.0,1.0,1.0,28.0,120.9932061,14.5667099,manila
128,gorgeous 2 bedroom condo for rent in peninsula garden midtown homes paco manila,"paco, manila",15000.0,2.0,1.0,33.0,120.993855,14.585454,manila
129,condo 2br unit for lease furnished in avenue of the arts residences in manila,"ermita, manila",80000.0,2.0,2.0,128.0,120.9825154,14.5860743,manila
130,"robinsons place residences manila 2br 83sqm furnished p40,000 (code a r07)","ermita, manila",40000.0,2.0,2.0,83.0,120.9825154,14.5860743,manila
131,2br loft unit fully furnished avenue of the arts residences for rent in manila,"ermita, manila",80000.0,2.0,2.0,130.0,120.9825154,14.5860743,manila
132,"manila executive regency - for rent fully furnished 2br in malate, manila","ermita, manila",40000.0,2.0,2.0,70.0,120.9825154,14.5860743,manila
133,manila river city residences studio type for rent,"santa ana, manila",12000.0,1.0,1.0,25.0,121.0083573,14.5815889,manila
134,manila river green residences studio unit for rent,"santa ana, manila",15000.0,1.0,1.0,25.0,121.0099794,14.5812608,manila
135,2br condo for rent ermita manila (torre de manila),"malate, manila",30000.0,2.0,1.0,55.0,120.991585,14.570199,manila
136,condo for rent 2br unit furnished facing manila bay at ave of arts residences,"ermita, manila",100000.0,2.0,2.0,122.0,120.9825154,14.5860743,manila
137,condo 2br unit fully furnished in avenue of the arts facing manila bay for lease,"ermita, manila",100000.0,2.0,2.0,122.0,120.9825154,14.5860743,manila
138,furnished studio w/ intramuros view for rent along roxas boulevard in manila,"roxas boulevard, manila",23000.0,1.0,1.0,22.0,120.9795709,14.5766097,manila
139,"fmrr building 1-bedroom unit for rent, manila","santa cruz, manila",13000.0,1.0,1.0,25.0,120.9848063,14.61103675,manila
140,20 sqm fully furnished studio with golf course view for rent in manila,"roxas boulevard, manila",23000.0,1.0,1.0,20.0,120.9895887,14.551476,manila
141,"for rent studio with balcony at illumina residences, manila city","santa mesa, manila",16000.0,1.0,1.0,28.0,121.0209709,14.5956806,manila
142,"condominium unit 15 16 floor vista gl taft for lease in ermita, manila","ermita, manila",20000.0,1.0,1.0,21.0,120.9870236,14.5794268,manila
143,1 bedroom condominium unit for rent at green residences manila,"taft, manila",18000.0,1.0,1.0,26.0,120.9928481,14.567385,manila
144,for lease studio unit at  8 adriatico ermita manila,"ermita, manila",37000.0,1.0,1.0,25.0,120.9825154,14.5860743,manila
145,"for rent 1br furnished unit in peninsula garden midland homes in paco, manila","paco, manila",18000.0,1.0,1.0,23.0,120.993855,14.585454,manila
146,"1 bedroom unit for rent in manila river city, santa ana, manila","santa ana, manila",15000.0,1.0,1.0,28.0,121.0083573,14.5815889,manila
147,"2 bedroom condo for rent at celadon park near sm san lazaro and ust, manila","santa cruz, manila",30000.0,2.0,2.0,58.0,120.9862,14.61984,manila
148,studio unit for rent in one archers place beside la salle taft ave manila,"taft, manila",15000.0,1.0,1.0,24.0,120.9932061,14.5667099,manila
149,2 bedroom fully furnished facing rizal park and manila bay,"ermita, manila",38000.0,2.0,1.0,55.0,120.9825154,14.5860743,manila
150,"brand new studio unit for rent in w.h. taft residences at taft, manila city","taft, manila",20000.0,1.0,1.0,24.0,120.9933,14.5658,manila
151,"for rent: 2br two adriatico residences, manila","ermita, manila",55000.0,2.0,2.0,88.0,120.983956,14.57505106,manila
152,fully furnished studio unit at vista taft for rent,"taft, manila",15000.0,1.0,1.0,18.0,120.9932061,14.5667099,manila
153,for rent two adriatico place 1 bedroom - 50 sqm near robinsons manila,"ermita, manila",35000.0,1.0,1.0,50.0,120.983956,14.57505106,manila
