,listing,location,price,bedroom_num,bathroom_num,floor_area,longitude,latitude,city
154,admiral suite 2 bedroom condo for rent in quirino cor. roxas blvd. manila,"malate, manila",75000.0,2.0,2.0,120.0,120.991585,14.570199,manila
155,2 bedroom unit in 3 adriatico,"ermita, manila",75000.0,2.0,2.0,88.0,120.9837017,14.57554159,manila
156,"for rent condominium studio fully furnished unit at sampaloc, manila","sampaloc, manila",20000.0,1.0,1.0,21.0,120.996236,14.61103,manila
157,fully furnished 1 bedroom unit at vista taft for rent,"taft, manila",18000.0,1.0,1.0,23.0,120.9947601,14.5629444,manila
158,for rent: 56 sqm 2-bedroom condominium unit at victoria de manila in malate,"malate, manila",28500.0,2.0,1.0,56.0,120.991585,14.570199,manila
159,"40 sqm, studio unit for rent at one adriatico located at ermita, manila city","ermita, manila",26000.0,1.0,1.0,40.0,120.9825154,14.5860743,manila
160,fully furnished 1 bedroom condo unit at cityland vito cruz tower manila bay view,"roxas boulevard, manila",17000.0,1.0,2.0,50.0,120.9895887,14.551476,manila
161,"for lease 37.52 sqm studio unit in the midland plaza, ermita manila","ermita, manila",15000.0,1.0,1.0,37.0,120.9825154,14.5860743,manila
162,"furnished 2 bedroom for rent in adriatico residences  pedro gil, manila","ermita, manila",65000.0,2.0,2.0,88.0,120.9825154,14.5860743,manila
163,1br condo apartment for rent in pedro gil paco near robinsons sm manila city hal,"paco, manila",12000.0,1.0,2.0,37.0,120.9936644,14.57794564,manila
164,torre de manila two (2) bedroom for rent,"ermita, manila",40000.0,2.0,1.0,55.0,120.9849377,14.5851163,manila
165,"studio condo unit for rent in avida tower, santa cruz, manila","santa cruz, manila",15000.0,1.0,1.0,20.0,120.984764,14.617888,manila
166,2 br grand riviera suites - manila bay for rent,"ermita, manila",70000.0,2.0,2.0,84.0,120.9795709,14.5766097,manila
167,"1 br unit in front of university of sto. tomas, sampaloc manila","sampaloc, manila",12500.0,1.0,1.0,20.0,120.996236,14.61103,manila
168,"2br unit with parking slot for lease at alpha grandview condominium, manila","malate, manila",55000.0,2.0,3.0,100.0,120.991585,14.570199,manila
169,fully furnished 2 bedroom condominium for rent at manila executive regency,"ermita, manila",40000.0,2.0,2.0,70.0,121.0560385,14.5962746,manila
170,"studio w/o balcony for rent in the silk residences, santa mesa, manila","santa mesa, manila",14000.0,1.0,1.0,23.0,121.0117496,14.6030108,manila
171,"for rent studio facing river sunrise at manila rivercity residences, manila","santa ana, manila",10500.0,1.0,1.0,21.0,121.0135541,14.5822048,manila
172,"baywatch tower malate manila, 82 sqm, 2 bedroom, w/balcony, manila bay view","malate, manila",55000.0,2.0,2.0,82.0,120.98523614068,14.5668241447,manila
173,"baywatch tower malate manila, 68 sqm, 2 bedroom, furnished with balcony for rent","malate, manila",35000.0,2.0,2.0,68.0,120.98509427576,14.566887669374,manila
174,"dakota residences malate manila, 51.54 sqm, 1 bedroom, furnished unit for rent","malate, manila",25000.0,1.0,1.0,51.0,120.98513621893,14.566849204334,manila
175,"1 bedroom at green residences beside dela salle university for rent, manila","malate, manila",18000.0,1.0,1.0,35.0,120.9928481,14.567385,manila
176,"newly renovated studio soho unit for rent at ermita, manila","ermita, manila",17000.0,1.0,1.0,25.0,120.9825154,14.5860743,manila
177,"for rent: 2br celadon park, manila","santa cruz, manila",36000.0,2.0,2.0,58.0,120.9862,14.61984,manila
178,brandnew fully furnished 2 br condo loft near st. scho and dlsu taft,"san andres, manila",17000.0,2.0,1.0,25.0,120.9993725,14.56259382,manila
179,2br for rent -suntrust parkview,"ermita, manila",18000.0,2.0,1.0,30.0,120.9825154,14.5860743,manila
180,"condo for rent at gl taft vistaland, across up-pgh, taft ave. manila","taft, manila",18000.0,1.0,1.0,21.0,121.0560385,14.5962746,manila
181,"3 torre lorenzo, manila. 20.77 sqm, studio condominium semi furnished for rent","malate, manila",12000.0,1.0,1.0,20.0,120.991585,14.570199,manila
182,"92 sqm, 2 bedroom unit for rent in malate manila near lrt-1 pedro gil","malate, manila",60000.0,2.0,1.0,92.0,120.991585,14.570199,manila
183,"for rent fully furnished studio unit at vista heights, legarda, manila","quiapo, manila",20000.0,1.0,1.0,21.0,120.9897,14.59747,manila
184,new condominium - studio type - front of pgh,"ermita, manila",20000.0,1.0,1.0,20.0,120.9825154,14.5860743,manila
185,"fully furnished studio condo unit for rent vista heights near ntc, ceu manila","quiapo, manila",18000.0,1.0,1.0,21.0,120.983,14.6,manila
186,"modern fully furnished studio in tower 2, the grand towers, pablo ocampo st.","taft, manila",15000.0,1.0,1.0,20.0,120.9932061,14.5667099,manila
187,for rent torre de manila 2br furnish condo unit by dmci homes near luneta park#9,"ermita, manila",45000.0,2.0,1.0,55.0,120.9825154,14.5860743,manila
188,"for rent studio at green residences beside de lasalle, taft, malate, manila","taft, manila",14000.0,1.0,1.0,16.0,120.9932061,14.5667099,manila
189,"1 br, 39m2, avida san lazaro, current tenant rent 18k / month, u-belt, furnished","santa cruz, manila",18000.0,1.0,1.0,39.0,120.984764,14.617888,manila
190,"for rent fully furnished studio condominium unit at vista gl taft, manila","ermita, manila",20000.0,1.0,1.0,22.0,120.9825154,14.5860743,manila
191,"penthouse with balcony in amaia skies sta. mesa, manila for rent","santa mesa, manila",15000.0,1.0,1.0,30.0,121.017867,14.5971795,manila
192,"hampstead gardens dmci, semi-furnished 2br condo near sm sta mesa","santa mesa, manila",18000.0,2.0,1.0,58.0,121.0212597,14.5966333,manila
193,"fully-furnished condomitel studio unit for rent @ vista heights, manila","quiapo, manila",15000.0,1.0,1.0,21.0,120.9897,14.59747,manila
194,2-br near sm manila: fully furnished low floor pool view suntrust parkview,"ermita, manila",20000.0,2.0,1.0,30.0,120.9837905,14.5910997,manila
195,"for rent bare studio unit at 878 españa in sampaloc, manila city","sampaloc, manila",20000.0,1.0,1.0,21.0,121.0560385,14.5962746,manila
196,for rent: semi furnished 2 bedroom unit at robinsons place residences ermita,"ermita, manila",45000.0,2.0,2.0,84.0,120.9825154,14.5860743,manila
197,"15k 1br condo unit for rent at vista taft, manila","taft, manila",15000.0,1.0,1.0,25.0,121.0560385,14.5962746,manila
198,fully furnished two-bedroom loft unit in rsg ss residens,"san andres, manila",16000.0,2.0,1.0,30.0,120.9993725,14.56259382,manila
199,for rent: 26 sqm studio type condominium at suntrust parkview dahlia bldg manila,"ermita, manila",15000.0,1.0,1.0,26.0,120.9837905,14.5910997,manila
200,"cityland vito cruz towers - fully furnished 2br in taft, malate good for 6 pax","malate, manila",35000.0,2.0,2.0,72.0,120.9932579,14.5607457,manila
201,"studio type condominium for rent at vista taft , malate, manila","malate, manila",16500.0,1.0,1.0,28.0,120.99476611726,14.563130945924,manila
202,"25 sqm studio unit for rent at 8 adriatico in malate, manila","ermita, manila",14200.0,1.0,1.0,25.0,120.9825154,14.5860743,manila
203,"condominium for rent 2br robinsons place residences in ermita, manila","ermita, manila",50000.0,2.0,3.0,89.0,120.9825154,14.5860743,manila
204,"fully furnished loft type two bedroom unit at echelon tower, malate, manila","malate, manila",42160.0,2.0,2.0,98.0,120.9865825,14.56684656,manila
205,"for rent: studio birch tower, malate manila","malate, manila",25000.0,1.0,1.0,30.0,120.9850036,14.57406767,manila
206,vista gl taft new unfurnished studio condo unit for rent in manila city,"ermita, manila",13000.0,1.0,1.0,21.0,120.9870236,14.5794268,manila
